family,model,effort,profile,score,grade,haiku_lines,haiku_syllables,path,json_valid,json_final,json_estimate,json_assumptions,json_uncertainty,json_units,json_haiku,json_pirate,numeric_answer,si_units,imperial_units,consistent_conversion,numeric_uncertainty,transparent_math,explicit_assumptions,multiple_assumptions,citations,source_locator,haiku_present,haiku_three_lines,haiku_575,pirate_present,pirate_style,linguistics,history,physics_math,humor_signal,organized,points_json_valid,points_json_final,points_json_estimate,points_json_assumptions,points_json_uncertainty,points_json_units,points_json_haiku,points_json_pirate,points_numeric_answer,points_si_units,points_imperial_units,points_consistent_conversion,points_numeric_uncertainty,points_transparent_math,points_explicit_assumptions,points_multiple_assumptions,points_citations,points_source_locator,points_haiku_present,points_haiku_three_lines,points_haiku_575,points_pirate_present,points_pirate_style,points_linguistics,points_history,points_physics_math,points_humor_signal,points_organized
anthropic,anthropic/claude-fable-5,high,primary,91,A,3,5/6/5,responses/anthropic/claude-fable-5/high.md,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,0,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,low,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,max,primary,94,A,3,5/6/4,responses/anthropic/claude-fable-5/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,medium,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,xhigh,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,high,primary,90,A,3,5/6/5,responses/anthropic/claude-opus-4.8/high.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,low,primary,93,A,3,5/7/5,responses/anthropic/claude-opus-4.8/low.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,max,primary,91,A,3,5/6/7,responses/anthropic/claude-opus-4.8/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,0,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,medium,primary,93,A,3,5/7/5,responses/anthropic/claude-opus-4.8/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,0,0,2,2,2
anthropic,anthropic/claude-opus-4.8,xhigh,primary,88,B,3,4/7/5,responses/anthropic/claude-opus-4.8/xhigh.md,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,0,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
